X,Y
-3.875,2.55
-3.87,2.55
-3.86,2.55
-3.85,2.55
-3.84,2.55
-3.83,2.55
-3.82,2.55
-3.81,2.55
-3.8,2.55
-3.79,2.55
-3.78,2.55
-3.77,2.55
-3.76,2.55
-3.75,2.55
-3.74,2.55
-3.73,2.55
-3.72,2.55
-3.71,2.55
-3.7,2.55
-3.69,2.55
-3.68,2.55
-3.67,2.55
-3.66,2.55
-3.65,2.55
-3.64,2.55
-3.63,2.55
-3.62,2.55
-3.61,2.55
-3.6,2.55
-3.59,2.55
-3.58,2.55
-3.57,2.55
-3.56,2.55
-3.55,2.55
-3.54,2.55
-3.53,2.55
-3.52,2.55
-3.51,2.55
-3.5,2.55
-3.49,2.55
-3.48,2.55
-3.47,2.55
-3.46,2.55
-3.45,2.55
-3.44,2.55
-3.43,2.55
-3.42,2.55
-3.41,2.55
-3.4,2.55
-3.39,2.55
-3.38,2.55
-3.37,2.55
-3.36,2.55
-3.35,2.55
-3.34,2.55
-3.33,2.55
-3.32,2.55
-3.31,2.55
-3.3,2.55
-3.29,2.55
-3.28,2.55
-3.27,2.55
-3.26,2.55
-3.25,2.55
-3.24,2.55
-3.23,2.55
-3.22,2.55
-3.21,2.55
-3.2,2.55
-3.19,2.55
-3.18,2.55
-3.17,2.55
-3.16,2.55
-3.15,2.55
-3.141098088950087,2.55
-3.132196177900173,2.55
-3.12329426685026,2.55
-3.11332909040578,2.5497845545717697
-3.10336805337977,2.5494255285718497
-3.0934132244069,2.54892299656012
-3.08346667083256,2.54827706289872
-3.07353045828361,2.54748786173038
-3.06360665023933,2.54655555695058
-3.05369730760295,2.54548034217349
-3.04380448827361,2.54426244069178
-3.03393024671902,2.5429021054302496
-3.0240766335488,2.54139961889328
-3.01424569508862,2.5397552931062
-3.00443947295521,2.53796946955043
-2.99466000363242,2.53604251909265
-2.98490931804828,2.53397484190769
-2.97518944115319,2.5317668673955
-2.96550239149947,2.52941905409194
-2.95585018082209,2.5269318895735298
-2.94623481362094,2.52430589035626
-2.93665828674452,2.52154160178826
-2.92712258897524,2.51863959793658
-2.91762970061646,2.51560048146796
-2.90818159308117,2.51242488352369
-2.89878022848262,2.5091134635885
-2.88942755922682,2.50566690935365
-2.88012552760711,2.5020859365741
-2.87087606540076,2.49837128891984
-2.86168109346782,2.4945237378214697
-2.8525425213522,2.4905440823100298
-2.84346224688512,2.4864331488509896
-2.83444215579098,2.48219179117267
-2.82548412129571,2.47782089008895
-2.81659000373782,2.4733213533163
-2.807761650182,2.4686941152853
-2.79900089403556,2.4639401369466096
-2.79030955466769,2.45906040557137
-2.7816894370316,2.4540559345461697
-2.77314233128971,2.44892776316261
-2.76467001244187,2.4436769564015
-2.75627423995672,2.4383046047116297
-2.74795675740633,2.43281182378334
-2.73971929210411,2.4271997543168498
-2.73156355474605,2.42146956178532
-2.72349123905549,2.41562243619286
-2.71550402143139,2.40965959182735
-2.70760356060015,2.4035822670083
-2.69979149727118,2.39739172382969
-2.69206945379614,2.39108924789783
-2.68443903383203,2.38467614806442
-2.67690182200814,2.3781537561547
-2.66945938359702,2.37152342669088
-2.66211326418935,2.36478653661086
-2.65486498937298,2.3579444849822497
-2.64771606441615,2.35099869271185
-2.64066797395482,2.34395060225052
-2.63372218168442,2.33680167729369
-2.62688013005581,2.32955340247732
-2.62014323997579,2.3222072830696496
-2.61351291051197,2.3147648446585296
-2.60699051860225,2.30722763283464
-2.60057741876884,2.29959721287053
-2.59427494283698,2.2918751693954897
-2.58808439965837,2.28406310606652
-2.58200707483932,2.27616264523528
-2.57604423047381,2.26817542761118
-2.57019710488135,2.26010311192062
-2.56446691234982,2.25194737456256
-2.55885484288333,2.24370990926034
-2.55336206195504,2.2353924267099496
-2.54798971026517,2.2269966542248
-2.54273890350406,2.21852433537696
-2.53761073212051,2.20997722963507
-2.5326062610953,2.20135711199898
-2.52772652972006,2.1926657726311096
-2.52297255138137,2.18390501648467
-2.51834531335037,2.17507666292885
-2.51384577657772,2.16618254537096
-2.509474875494,2.15722451087569
-2.50523351781568,2.1482044197815497
-2.50112258435664,2.13912414531447
-2.4971429288452,2.12998557319886
-2.49329537774683,2.12079060126591
-2.48958073009257,2.11154113905956
-2.48599975731302,2.10223910743985
-2.48255320307817,2.09288643818405
-2.47924178314298,2.0834850735855
-2.47606618519871,2.07403696605021
-2.47302706873009,2.06454407769143
-2.47012506487841,2.0550083799221497
-2.46736077631041,2.04543185304573
-2.46473477709314,2.03581648584458
-2.46224761257473,2.0261642751672
-2.45989979927117,2.01647722551348
-2.45769182475898,2.0067573486183896
-2.45562414757402,1.9970066630342496
-2.45369719711624,1.98722719371146
-2.45191137356047,1.9774209715780495
-2.45026704777339,1.9675900331178695
-2.44876456123642,1.95773641994765
-2.44740422597489,1.94786217839306
-2.44618632449318,1.93796935906372
-2.44511110971609,1.92806001642734
